product_id,title,description,category,price
1,Dyson BrightKitchen Water Filter Pitcher – 30-bar pressure extraction & app-based scheduling,"The Dyson BrightKitchen Water Filter Pitcher delivers 30-bar pressure extraction and app-based scheduling. Engineered for discerning customers, it features enamelled cast iron, a 0.9 L removable water reservoir, and all-day comfort with temperature-regulating fill. Precision craftsmanship for everyday cooking.",Home,182.53
2,Rethinking Intelligence by Claire Fontaine,"In Rethinking Intelligence by Claire Fontaine, Claire Fontaine explores the hidden forces shaping modern economics and the overlooked voices that shaped a scientific revolution. Drawing on decades of field research and exclusive interviews. it challenges assumptions held by experts and laypeople alike. Spanning 350 pages of meticulously researched content, this authoritative non-fiction account has been described as 'a must-read that will change how you see the world' — Nature.",Books,31.25
3,Carhartt EcoWeave Running Jacket – moisture-wicking technology & breathable mesh lining,"The Carhartt EcoWeave Running Jacket delivers moisture-wicking technology and breathable mesh lining. Engineered for discerning customers, it features 88% recycled polyester / 12% elastane, YKK® AquaGuard zippers, and trail runners and urban explorers alike. Move freely. Look sharp. Feel great.",Apparel,217.0
4,Adidas DriLayer Compression Training Tights – wind-resistant outer shell & breathable mesh lining,"The Adidas DriLayer Compression Training Tights delivers wind-resistant outer shell and breathable mesh lining. Engineered for discerning customers, it features DWR-treated ripstop nylon, YKK® AquaGuard zippers, and weekend trips and everyday casual wear. Built for the planet, built for performance.",Apparel,184.98
5,When Data Speaks by David Osei,"In When Data Speaks by David Osei, David Osei explores the hidden forces shaping modern economics and the personal cost of relentless optimisation culture. Grounded in peer-reviewed cognitive science. readers gain actionable tools for immediate real-world impact. Spanning 350 pages of meticulously researched content, this practical business handbook has been described as 'a landmark work for our times' — The Economist.",Books,35.67
6,The North Face AlpineShield Insulated Puffer Vest – UPF 50+ sun protection & breathable mesh lining,"The The North Face AlpineShield Insulated Puffer Vest delivers UPF 50+ sun protection and breathable mesh lining. Engineered for discerning customers, it features 88% recycled polyester / 12% elastane, flatlock seams for chafe-free comfort, and trail runners and urban explorers alike. Where function meets timeless style.",Apparel,186.12
7,Adidas EcoWeave Compression Training Tights – four-way stretch fabric & articulated knee panelling,"The Adidas EcoWeave Compression Training Tights delivers four-way stretch fabric and articulated knee panelling. Engineered for discerning customers, it features DWR-treated ripstop nylon, YKK® AquaGuard zippers, and effortless layering in transitional weather. Built for the planet, built for performance.",Apparel,80.45
8,Dyson ProChef Weighted Blanket – LiDAR-guided navigation & real-time air-quality display,"The Dyson ProChef Weighted Blanket delivers LiDAR-guided navigation and real-time air-quality display. Engineered for discerning customers, it features sustainably sourced moso bamboo, a 3-layer activated carbon + HEPA filter stack, and silent yet powerful performance in any room. Spend less time cleaning, more time living.",Home,77.35
9,Razer VisionPro Gaming Mouse – Ultra-Low Latency & 30-Hour Battery Life,"The Razer VisionPro Gaming Mouse delivers Ultra-Low Latency and 30-Hour Battery Life. Engineered for discerning customers, it features 1.5"" bio-cellulose driver, tilt-adjustable scroll wheel, and a companion EQ app for iOS & Android. Where premium sound meets everyday convenience.",Electronics,147.29
10,Razer HyperEdge Smart Speaker – Multi-Device Pairing & Thunderbolt 4 Pass-Through,"The Razer HyperEdge Smart Speaker delivers Multi-Device Pairing and Thunderbolt 4 Pass-Through. Engineered for discerning customers, it features 1.5"" bio-cellulose driver, dedicated bass radiator, and ambient sound pass-through mode. Dominate every session with tournament-grade precision.",Electronics,484.97
